Spilhaus,U095,,1005.0,726.0,1
AGFA Digital Foto Lab,L119,,756.0,414.0,0
Cell C,L083,,1448.0,370.0,0
Computer Mania,L019,,626.0,327.0,0
Dion Wired,L129/131,,504.0,368.0,0
Glocell,L059,,1562.0,261.0,0
Incredible Connection,L023/4,,722.0,346.0,0
Kodak Express,L123,,606.0,376.0,0
MTN,L073,,1588.0,338.0,0
Telkom Mobile,L075,,1612.0,367.0,0
V Cell Clinix,U032,,1147.0,515.0,1
Vodacom 4U,L131,,472.0,398.0,0
Vodacom Chatz Cellular,L068,,1672.0,299.0,0
Vodacom Datacall Cellular,L093,,1301.0,397.0,0
ABSA - Branch,L065,,1781.0,251.0,0
African Bank,L060,,1654.0,230.0,0
Bidvest Bank Rennies Foreign Exchange,L069,,1643.0,305.0,0
Capitec Bank,L053,,1416.0,328.0,0
FNB - Branch,L063,,1609.0,261.0,0
Nedbank - Branch,L061,,1707.0,206.0,0
Old Mutual Investments,L001,,420.0,379.0,0
Standard Bank - Branch,L062,,1771.0,206.0,0
Birthdays,U056,,1480.0,576.0,1
CUM BOOKS,L07,,377.0,301.0,0
Exclusive Books,L113,,866.0,400.0,0
PNA,L025,,792.0,355.0,0
Ackermans,U108,,610.0,627.0,1
Baby Boom,L125,,645.0,366.0,0
Burgundy Fly,U065,,1575.0,392.0,1
Contempo,U110,,511.0,511.0,1
Cotton On,U104,,801.0,676.0,1
Cotton On Kids,U068/72,,1750.0,506.0,1
Donna-Claire,U100,,880.0,685.0,1
Exact!,U107,,691.0,645.0,1
Factorie,U106,,743.0,656.0,1
Foschini,U098,,948.0,680.0,1
Hassu Hassey,U005,,647.0,460.0,1
Identity,U086,,1435.0,673.0,1
Jeep,U084,,1600.0,623.0,1
John Craig,U067,,1658.0,470.0,1
Lamiga,U122,,610.0,418.0,1
Legit,U115B,,523.0,618.0,1
Markham,U060,,1543.0,555.0,1
me Mom and Dad,U096,,979.0,886.0,1
Miladys,U020,,1000.0,607.0,1
Mr Price Weekend,U080,,1673.0,627.0,1
Pick n Pay Clothing,U116,,450.0,486.0,1
Refinery,U078,,1744.0,596.0,1
SODA Bloc,U054,,1398.0,542.0,1
Sportscene,U040,,1245.0,609.0,1
The Fix,U010,,772.0,579.0,1
The Hub,U115,,393.0,524.0,1
Truworths,U088,,1228.0,684.0,1
Edgars,U082,,1521.0,644.0,1
Game FoodCo,L008,,362.0,270.0,0
Jet,U108,,457.0,587.0,1
Pep,U122/6,,619.0,381.0,1
Woolworths,U069,,1822.0,521.0,1
Classique Optical,L047,,1324.0,343.0,0
Sunglass Hut,U036,,1162.0,596.0,1
Torga Optical,L057,,1465.0,306.0,0
Vision Works Optometrists,L088,,1402.0,384.0,0
Elna Home Products,L021,,657.0,330.0,0
Anat,L039,,1147.0,366.0,0
Boesmanland Biltong,U028,,1076.0,535.0,1
Boost Juice Bar,L093a,,1275.0,402.0,0
Bread Basket,L077,,1638.0,433.0,0
