DEVICE,acer,B1-730
OFFSET,7
1,-68
0,-68
11,-78
3,-86
2,-82
17,-80
OFFSET,217
1,-67
0,-69
11,-78
3,-86
2,-85
OFFSET,1461
1,-68
0,-71
11,-79
3,-82
2,-82
OFFSET,2707
1,-72
0,-69
11,-79
3,-82
2,-82
OFFSET,3949
1,-73
0,-65
11,-79
3,-86
2,-75
OFFSET,5192
1,-74
0,-63
11,-75
3,-93
2,-74
OFFSET,6433
1,-78
0,-64
11,-75
3,-72
2,-71
OFFSET,7678
1,-75
0,-69
11,-70
3,-72
2,-79
17,-84
OFFSET,8922
1,-85
0,-75
11,-71
3,-81
2,-82
17,-84
OFFSET,10164
1,-80
0,-73
11,-73
3,-79
2,-77
17,-84
7,-89
OFFSET,11414
1,-72
0,-72
11,-82
3,-79
2,-78
17,-84
7,-89
OFFSET,12664
1,-74
0,-69
11,-78
3,-79
2,-78
17,-84
7,-89
OFFSET,13908
1,-74
0,-71
11,-78
3,-79
2,-78
17,-84
7,-89
OFFSET,15152
1,-74
0,-84
11,-78
3,-79
2,-78
17,-84
7,-89
OFFSET,16399
1,-73
0,-72
11,-81
3,-79
2,-78
17,-84
7,-89
OFFSET,17645
1,-72
0,-71
11,-82
3,-79
2,-78
17,-84
7,-89
129,-91
OFFSET,18787
1,-66
0,-72
11,-82
3,-79
2,-78
17,-84
7,-89
129,-91
OFFSET,19932
1,-77
0,-75
11,-82
3,-79
2,-78
17,-84
7,-89
129,-91
OFFSET,20983
1,-72
0,-71
11,-77
3,-79
2,-78
17,-84
7,-89
129,-87
8,-89
OFFSET,22131
1,-69
0,-72
11,-77
3,-79
2,-78
7,-89
129,-87
8,-89
OFFSET,23380
1,-73
0,-77
11,-77
3,-79
2,-78
7,-89
129,-87
8,-89
OFFSET,24528
1,-74
0,-79
11,-84
2,-78
129,-87
8,-89
OFFSET,25671
1,-75
0,-79
11,-79
129,-90
8,-89
OFFSET,26811
1,-69
0,-75
11,-79
129,-90
8,-89
2,-81
3,-82
OFFSET,28058
1,-68
0,-75
11,-81
129,-90
8,-89
2,-81
3,-82
OFFSET,29304
1,-65
0,-77
11,-81
129,-90
8,-89
2,-81
3,-82
OFFSET,30446
1,-66
0,-81
11,-77
129,-90
8,-89
2,-81
3,-82
10,-91
OFFSET,31693
1,-71
0,-81
11,-78
129,-90
8,-89
2,-81
3,-82
10,-91
OFFSET,32939
1,-68
0,-71
11,-84
129,-90
8,-89
2,-81
3,-82
10,-91
OFFSET,34189
1,-68
0,-74
11,-84
129,-90
8,-89
2,-81
3,-82
10,-91
OFFSET,35329
1,-67
0,-72
11,-84
129,-90
2,-80
3,-81
10,-91
OFFSET,36573
1,-68
0,-69
11,-84
129,-90
2,-80
3,-84
10,-91
OFFSET,37816
1,-65
0,-70
11,-82
129,-90
2,-81
3,-84
10,-91
